"POL_NBR","INSRD_NAME","INSRD_ADDR_1","INSRD_CITY","INSRD_ST","INSRD_ZIP","EFF_DT","EXP_DT","ASL","CLASS_CD","WRT_PREM","ERN_PREM","POL_TYPE","CLAIM_NBR","ACC_DT","RPT_DT","CLM_STATUS","LOSS_TYPE","PD_INDEM","CASE_RSV","PD_ALAE","TOTAL_ALAE","RECOVERY_AMT"
"PLB010000","John Williams","520 1st Ave","Austin","IL",62098,"04/28/2024","04/28/2025",18.2,10060,832,"NULL","PKG","B-CLM-005000","2024-12-15","2025-01-18","CLSD","PRODUCTS LIABILITY",3071.0,31843.0,0.0,0.0,NULL
"PLB010001","Richard Rodriguez","947 Maple Blvd","Austin","IA",20911,"10-12-2023","10-11-2024",17.2,52000,3057,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010002","Susan Williams","8071 Oak Ave","Dallas","GA",36572,"2022-09-26","2023-09-26",17.1,13333,25903,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010003","Robert Rodriguez","4583 2nd St","Dallas","NULL",NULL,"07/02/2022","07/02/2023",17.1,10060,7384,"NULL","PKG","B-CLM-005003","2022-11-09","2022-11-22","OPEN","ASSAULT/BATTERY",3618.0,97.0,0.0,0.0,NULL
"PLB010004","William Martin","1862 Washington St","Seattle","IA",63955,"20240203","20250202",18.2,95648,8493,"NULL","MONO","B-CLM-005004","2024-06-25","2024-07-02","CLSD","STRUCTURAL COLLAPSE",0.0,8173.0,0.0,0.0,NULL
"PLB010005","Richard Smith","1978 Elm Dr","Portland","KY",62531,"20220917","20230917",18.1,15102,53499,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010006","Sarah Williams","6417 Maple Blvd","Denver","MO",38318,"11/18/2022","11/18/2023",17.1,19007,3968,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010007","Mary Rodriguez","7001 Oak Ave","Austin","MA",72959,"20230308","20240307",18.1,47050,19373,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010008","Thomas Johnson","5627 Main St","Austin","GA",31644,"01/19/2022","01/19/2023",18.2,43891,389,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010009","Patricia Lopez","1783 Main St","Dallas","LA",215,"03-04-2024","03-04-2025",18.2,50100,12245,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010010","John Rodriguez","5495 Washington St","Seattle","CT",42297,"01-12-2024","01-11-2025",17.1,11000,670,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010011","Jessica Rodriguez","5374 2nd St","Dallas","CA",94415,"20240211","20250210",18.2,91340,17757,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010012","Joseph Gonzalez","3178 2nd St","Austin","MS",53988,"2024-05-26","2025-05-26",17.1,43891,1243,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010013","Thomas Miller","6656 Pine Rd","Austin","MA",46249,"06/07/2022","06/07/2023",17.2,97047,3024,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010014","Thomas Anderson","5866 Maple Blvd","Austin","AR",81563,"02/02/2024","02/01/2025",17.2,11126,1097,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010015","Susan Miller","4916 Pine Rd","Seattle","KY",29489,"12/08/2022","12/08/2023",18.2,60010,4619,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010016","James Brown","3132 Park Pl","Boston","AK",97432,"2023-10-24","2024-10-23",17.1,43891,1976,"NULL","MONO","B-CLM-005016","2024-02-16","2024-03-13","REOP","COMPLETED OPERATIONS",0.0,11324.0,0.0,818.0,NULL
"PLB010017","Jennifer Smith","9832 Cedar Ln","Seattle","IA",90737,"05/26/2022","05/26/2023",18.2,11000,6876,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010018","James Jones","6822 Pine Rd","Boston","ME",25703,"11-28-2023","11-27-2024",17.2,91341,8670,"NULL","PKG","B-CLM-005018","2024-05-01","2024-05-30","REOP","MEDICAL PAYMENTS",2822.0,0.0,0.0,1272.0,NULL
"PLB010019","Thomas Garcia","4446 Cedar Ln","Portland","CT",69644,"01/22/2023","01/22/2024",18.1,14279,111150,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010020","Patricia Smith","8274 Elm Dr","Seattle","MN",28498,"12/18/2022","12/18/2023",18.2,12393,37047,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010021","Linda Johnson","7852 Cedar Ln","Dallas","AZ",66614,"03-29-2024","03-29-2025",17.1,41668,7105,"NULL","PKG","B-CLM-005021","2024-12-04","2024-12-05","OPEN","COMPLETED OPERATIONS",13017.0,87141.0,110.0,110.0,NULL
"PLB010022","Elizabeth Jackson","7655 Park Pl","Dallas","HI",66128,"2024-04-03","2025-04-03",17.2,51350,3118,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010023","Sarah Smith","6996 Oak Ave","Dallas","MI",94398,"12-31-2023","12-30-2024",18.2,46202,4405,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010024","Thomas Johnson","3459 Park Pl","Dallas","ME",87232,"06-17-2024","06-17-2025",17.1,41668,20694,"NULL","PKG","B-CLM-005024","2024-12-29","2025-02-21","REOP","DOG BITE",0.0,11654.0,12207.0,12207.0,NULL
